fsa,total_private_dwellings,occupied_by_type_total,single_detached,semi_detached,row_house,apt_duplex,apt_lt5,apt_5plus,other_single_attached,movable,median_income
E5M,1079,945,895,5,10,0,5,0,5,25,66000
E5N,5222,4895,4255,60,95,85,165,0,5,235,83000
E5P,1113,1030,955,10,5,20,10,0,0,35,72000
E5R,785,690,635,0,0,10,10,0,0,30,65500
E5S,1002,835,810,5,0,5,0,0,0,25,77000
E5T,1739,1305,1180,10,0,5,35,0,0,70,66500
E5V,475,345,320,0,0,0,15,0,0,10,60400
E6A,608,515,490,5,10,0,10,0,5,5,62000
E6B,740,660,605,5,0,0,15,0,0,30,61200
E6C,952,885,750,5,0,5,0,0,0,125,73500
E6E,770,665,610,0,0,5,25,0,0,30,61200
E6G,1348,1185,1035,15,5,5,60,0,0,65,72000
E6H,906,570,545,0,0,0,0,0,0,20,65500
E6J,645,570,530,10,0,10,10,0,0,5,55200
E6K,2241,1790,1665,0,0,5,45,0,0,75,74000
E6L,2104,1980,1785,5,5,35,25,0,0,120,73500
E7A,1949,1725,1335,50,100,45,155,5,10,20,63200
E7B,2609,2485,2010,50,35,45,145,0,10,195,71500
E7C,2406,2315,1870,45,20,115,240,0,5,30,62800
E7E,1949,1830,1535,45,40,30,145,0,5,30,62000
E7G,1970,1660,1495,10,30,15,100,0,0,15,57200
E7H,2727,2455,2055,55,75,30,170,0,20,55,54800
E7J,904,835,725,25,15,0,40,0,0,25,63200
E7K,1074,1030,835,10,20,20,60,10,0,75,64000
E7L,2389,2170,1870,45,20,25,155,0,5,60,66500
E7M,4672,4450,3020,90,110,145,790,0,20,280,65000
E7N,1419,1245,1115,45,0,0,45,0,0,40,73000
E7P,1537,1435,1215,10,30,30,110,10,5,35,67500
E8A,1702,1610,1270,60,50,65,130,0,30,10,64000
E8B,1107,1055,900,15,55,5,75,0,0,10,58400
E8C,1884,1720,1285,40,30,65,285,0,5,5,54800
E8E,2486,2305,2020,10,45,50,80,0,15,80,67500
E8G,1469,1290,1185,15,15,5,45,0,5,20,46000
E8J,2663,2495,2000,125,145,80,90,0,20,35,66500
E8K,4193,3920,2925,130,195,200,265,0,35,165,67500
E8L,1070,1020,955,15,0,10,15,0,5,20,58400
E8M,980,925,795,15,10,10,75,0,0,20,56400
E8N,1454,1210,1065,45,15,25,35,0,0,25,50000
E8P,1680,1520,1405,25,0,15,55,0,0,25,63200
E8R,1586,1445,1230,40,55,20,60,0,0,40,53200
E8S,2299,2065,1620,30,15,35,325,0,10,35,63200
E8T,3016,2670,2385,50,30,35,85,0,10,75,60400
E9A,1149,1025,935,15,0,5,30,0,0,45,67000
E9B,1167,990,875,0,0,5,30,0,0,80,63200
E9C,1213,1025,915,10,5,0,50,0,0,40,53200
E9E,1932,1715,1565,5,0,5,45,0,0,95,61600
E9G,2421,2240,1950,55,40,15,50,10,10,120,59200
E9H,1407,1290,1230,15,0,10,10,0,0,25,60000
G0A,42396,36330,27775,2110,205,2270,3410,15,95,455,81000
G0C,23601,21675,17015,815,170,695,2395,5,95,475,61600
G0E,2907,2320,1990,90,55,40,120,0,15,15,55200
G0G,8853,6960,5290,625,95,135,225,225,5,360,93000
G0H,5445,4760,4030,130,80,55,185,0,35,245,67000
G0J,16469,13800,11515,330,90,445,1165,40,70,155,54800
G0K,6581,5395,4480,115,95,135,370,0,50,155,65000
G0L,32170,27385,21770,725,145,930,3125,10,230,450,63200
G0M,16844,14955,12495,440,95,355,1390,0,110,65,66500
G0N,10918,9095,7675,170,20,335,765,0,35,95,63600
G0P,3418,2930,2685,25,5,50,130,0,10,30,65500
G0R,43153,37730,29685,1445,280,1500,4210,10,220,385,66000
